
--- RSI|VP-buy m1% (346 entries, 5457%) ---
  SELL | 2021-09-26 08:00 | $    41,227 | Cap: $   135,433 | RSI<30
   BUY | 2021-10-01 08:00 | $    44,788 | Cap: $   135,433 | VP>VAH+1%(7d)
  SELL | 2021-10-12 21:00 | $    55,361 | Cap: $   167,403 | RSI<30
   BUY | 2021-10-13 01:00 | $    56,460 | Cap: $   167,403 | VP>VAH+1%(7d)
  SELL | 2021-10-21 16:00 | $    62,971 | Cap: $   186,709 | RSI<30
   BUY | 2021-10-25 12:00 | $    62,759 | Cap: $   186,709 | RSI>75
  SELL | 2021-10-27 08:00 | $    59,950 | Cap: $   178,352 | RSI<30
   BUY | 2021-10-28 09:00 | $    60,560 | Cap: $   178,352 | VP>VAH+1%(7d)
  SELL | 2021-11-04 19:00 | $    60,732 | Cap: $   178,859 | RSI<30
   BUY | 2021-11-07 10:00 | $    61,971 | Cap: $   178,859 | RSI>75
  SELL | 2021-11-11 12:00 | $    65,256 | Cap: $   188,340 | RSI<30
   BUY | 2021-11-20 05:00 | $    58,487 | Cap: $   188,340 | RSI>75
  SELL | 2021-11-26 09:00 | $    55,211 | Cap: $   177,791 | RSI<30
   BUY | 2021-11-28 22:00 | $    56,273 | Cap: $   177,791 | VP>VAH+1%(7d)
  SELL | 2021-12-02 12:00 | $    56,310 | Cap: $   177,906 | RSI<30
   BUY | 2021-12-02 17:00 | $    56,329 | Cap: $   177,906 | VP>VAH+1%(7d)
  SELL | 2021-12-03 18:00 | $    54,982 | Cap: $   173,652 | RSI<30
   BUY | 2021-12-07 07:00 | $    51,148 | Cap: $   173,652 | RSI>75
  SELL | 2021-12-08 12:00 | $    49,186 | Cap: $   166,992 | RSI<30
   BUY | 2021-12-08 15:00 | $    50,732 | Cap: $   166,992 | VP>VAH+1%(7d)
  SELL | 2021-12-09 16:00 | $    48,462 | Cap: $   159,522 | RSI<30
   BUY | 2021-12-21 05:00 | $    48,555 | Cap: $   159,522 | VP>VAH+1%(7d)
  SELL | 2021-12-25 16:00 | $    50,660 | Cap: $   166,437 | RSI<30
   BUY | 2021-12-25 17:00 | $    50,600 | Cap: $   166,437 | VP>VAH+1%(7d)
  SELL | 2021-12-26 04:00 | $    49,676 | Cap: $   163,397 | RSI<30
   BUY | 2021-12-26 07:00 | $    49,905 | Cap: $   163,397 | VP>VAH+1%(7d)
  SELL | 2021-12-28 10:00 | $    49,027 | Cap: $   160,524 | RSI<30
   BUY | 2022-01-12 14:00 | $    43,921 | Cap: $   160,524 | VP>VAH+1%(7d)
  SELL | 2022-01-14 11:00 | $    42,075 | Cap: $   153,778 | RSI<30
   BUY | 2022-01-28 21:00 | $    37,758 | Cap: $   153,778 | VP>VAH+1%(7d)
  SELL | 2022-02-02 19:00 | $    37,486 | Cap: $   152,672 | RSI<30
   BUY | 2022-02-04 16:00 | $    39,491 | Cap: $   152,672 | VP>VAH+1%(7d)
  SELL | 2022-02-17 16:00 | $    41,925 | Cap: $   162,084 | RSI<30
   BUY | 2022-02-25 03:00 | $    38,800 | Cap: $   162,084 | RSI>75
  SELL | 2022-03-03 19:00 | $    42,257 | Cap: $   176,523 | RSI<30
   BUY | 2022-03-09 04:00 | $    41,218 | Cap: $   176,523 | RSI>75
  SELL | 2022-03-10 05:00 | $    39,541 | Cap: $   169,340 | RSI<30
   BUY | 2022-03-16 03:00 | $    40,866 | Cap: $   169,340 | VP>VAH+1%(7d)
  SELL | 2022-03-20 18:00 | $    41,033 | Cap: $   170,032 | RSI<30
   BUY | 2022-03-22 05:00 | $    42,990 | Cap: $   170,032 | VP>VAH+1%(7d)
  SELL | 2022-03-31 20:00 | $    45,582 | Cap: $   180,286 | RSI<30
   BUY | 2022-04-19 02:00 | $    40,750 | Cap: $   180,286 | RSI>75
  SELL | 2022-04-22 08:00 | $    40,710 | Cap: $   180,107 | RSI<30
   BUY | 2022-04-26 04:00 | $    40,535 | Cap: $   180,107 | RSI>75
  SELL | 2022-04-26 16:00 | $    38,564 | Cap: $   171,348 | RSI<30
   BUY | 2022-05-04 16:00 | $    38,973 | Cap: $   171,348 | RSI>75
  SELL | 2022-05-05 16:00 | $    36,910 | Cap: $   162,275 | RSI<30
   BUY | 2022-05-30 03:00 | $    30,217 | Cap: $   162,275 | RSI>75
  SELL | 2022-06-01 18:00 | $    30,180 | Cap: $   162,076 | RSI<30
   BUY | 2022-06-01 19:00 | $    30,168 | Cap: $   162,076 | VP>VAH+1%(7d)
  SELL | 2022-06-01 20:00 | $    30,127 | Cap: $   161,856 | RSI<30
   BUY | 2022-06-06 04:00 | $    31,251 | Cap: $   161,856 | RSI>75
  SELL | 2022-06-07 01:00 | $    30,198 | Cap: $   156,401 | RSI<30
   BUY | 2022-06-07 20:00 | $    31,060 | Cap: $   156,401 | VP>VAH+1%(7d)
  SELL | 2022-06-10 14:00 | $    29,396 | Cap: $   148,024 | RSI<30
   BUY | 2022-06-26 12:00 | $    21,709 | Cap: $   148,024 | VP>VAH+1%(7d)
  SELL | 2022-06-28 06:00 | $    20,741 | Cap: $   141,428 | RSI<30
   BUY | 2022-07-05 | $    20,237 | Cap: $   141,428 | RSI>75
  SELL | 2022-07-10 15:00 | $    20,864 | Cap: $   145,812 | RSI<30
   BUY | 2022-07-16 17:00 | $    21,464 | Cap: $   145,812 | VP>VAH+1%(7d)
  SELL | 2022-07-21 12:00 | $    22,608 | Cap: $   153,582 | RSI<30
   BUY | 2022-07-21 13:00 | $    22,803 | Cap: $   153,582 | VP>VAH+1%(7d)
  SELL | 2022-07-23 09:00 | $    22,609 | Cap: $   152,273 | RSI<30
   BUY | 2022-07-27 19:00 | $    22,554 | Cap: $   152,273 | RSI>75
  SELL | 2022-07-31 14:00 | $    23,712 | Cap: $   160,089 | RSI<30
   BUY | 2022-08-08 07:00 | $    23,729 | Cap: $   160,089 | VP>VAH+1%(7d)
  SELL | 2022-08-09 10:00 | $    23,473 | Cap: $   158,356 | RSI<30
   BUY | 2022-08-10 13:00 | $    23,984 | Cap: $   158,356 | VP>VAH+1%(7d)
  SELL | 2022-08-12 10:00 | $    23,983 | Cap: $   158,353 | RSI<30
   BUY | 2022-08-14 08:00 | $    24,873 | Cap: $   158,353 | VP>VAH+1%(7d)
  SELL | 2022-08-18 04:00 | $    23,434 | Cap: $   149,191 | RSI<30
   BUY | 2022-09-02 14:00 | $    20,266 | Cap: $   149,191 | RSI>75
  SELL | 2022-09-03 12:00 | $    19,799 | Cap: $   145,750 | RSI<30
   BUY | 2022-09-08 | $    19,293 | Cap: $   145,750 | RSI>75
  SELL | 2022-09-13 15:00 | $    21,010 | Cap: $   158,721 | RSI<30
   BUY | 2022-09-27 02:00 | $    19,765 | Cap: $   158,721 | VP>VAH+1%(7d)
  SELL | 2022-09-28 | $    19,078 | Cap: $   153,203 | RSI<30
   BUY | 2022-09-28 16:00 | $    19,488 | Cap: $   153,203 | VP>VAH+1%(7d)
  SELL | 2022-10-01 12:00 | $    19,312 | Cap: $   151,821 | RSI<30
   BUY | 2022-10-04 07:00 | $    19,840 | Cap: $   151,821 | VP>VAH+1%(7d)
  SELL | 2022-10-07 17:00 | $    19,404 | Cap: $   148,491 | RSI<30
   BUY | 2022-10-14 02:00 | $    19,861 | Cap: $   148,491 | VP>VAH+1%(7d)
  SELL | 2022-10-14 23:00 | $    19,160 | Cap: $   143,251 | RSI<30
   BUY | 2022-10-16 20:00 | $    19,375 | Cap: $   143,251 | RSI>75
  SELL | 2022-10-21 12:00 | $    18,945 | Cap: $   140,069 | RSI<30
   BUY | 2022-10-23 20:00 | $    19,500 | Cap: $   140,069 | RSI>75
  SELL | 2022-10-28 03:00 | $    20,223 | Cap: $   145,263 | RSI<30
   BUY | 2022-10-28 04:00 | $    20,293 | Cap: $   145,263 | VP>VAH+1%(7d)
  SELL | 2022-11-02 23:00 | $    20,111 | Cap: $   143,961 | RSI<30
   BUY | 2022-11-04 11:00 | $    20,655 | Cap: $   143,961 | RSI>75
  SELL | 2022-11-07 | $    20,906 | Cap: $   145,707 | RSI<30
   BUY | 2022-11-23 04:00 | $    16,585 | Cap: $   145,707 | RSI>75
  SELL | 2022-11-26 23:00 | $    16,425 | Cap: $   144,307 | RSI<30
   BUY | 2022-11-30 01:00 | $    16,847 | Cap: $   144,307 | VP>VAH+1%(7d)
  SELL | 2022-12-01 21:00 | $    16,917 | Cap: $   144,908 | RSI<30
   BUY | 2022-12-01 22:00 | $    16,924 | Cap: $   144,908 | VP>VAH+1%(7d)
  SELL | 2022-12-03 21:00 | $    16,934 | Cap: $   144,995 | RSI<30
   BUY | 2022-12-05 01:00 | $    17,216 | Cap: $   144,995 | RSI>75
  SELL | 2022-12-06 02:00 | $    17,032 | Cap: $   143,441 | RSI<30
   BUY | 2022-12-08 19:00 | $    17,248 | Cap: $   143,441 | RSI>75
  SELL | 2022-12-12 01:00 | $    16,950 | Cap: $   140,961 | RSI<30
   BUY | 2022-12-13 | $    17,209 | Cap: $   140,961 | RSI>75
  SELL | 2022-12-15 14:00 | $    17,505 | Cap: $   143,390 | RSI<30
   BUY | 2022-12-15 15:00 | $    17,455 | Cap: $   143,390 | VP>VAH+1%(7d)
  SELL | 2022-12-15 16:00 | $    17,428 | Cap: $   143,173 | RSI<30
   BUY | 2022-12-15 20:00 | $    17,443 | Cap: $   143,173 | VP>VAH+1%(7d)
  SELL | 2022-12-15 21:00 | $    17,418 | Cap: $   142,965 | RSI<30
   BUY | 2022-12-16 08:00 | $    17,503 | Cap: $   142,965 | VP>VAH+1%(7d)
  SELL | 2022-12-16 09:00 | $    17,221 | Cap: $   140,661 | RSI<30
   BUY | 2022-12-20 20:00 | $    16,901 | Cap: $   140,661 | RSI>75
  SELL | 2022-12-27 21:00 | $    16,666 | Cap: $   138,710 | RSI<30
   BUY | 2023-01-04 04:00 | $    16,863 | Cap: $   138,710 | VP>VAH+1%(7d)
  SELL | 2023-01-19 11:00 | $    20,796 | Cap: $   171,069 | RSI<30
   BUY | 2023-01-19 21:00 | $    21,102 | Cap: $   171,069 | RSI>75
  SELL | 2023-01-25 02:00 | $    22,492 | Cap: $   182,330 | RSI<30
   BUY | 2023-01-25 22:00 | $    23,593 | Cap: $   182,330 | VP>VAH+1%(7d)
  SELL | 2023-01-30 17:00 | $    23,170 | Cap: $   179,068 | RSI<30
   BUY | 2023-02-01 21:00 | $    23,572 | Cap: $   179,068 | VP>VAH+1%(7d)
  SELL | 2023-02-05 15:00 | $    23,163 | Cap: $   175,966 | RSI<30
   BUY | 2023-02-14 15:00 | $    22,247 | Cap: $   175,966 | RSI>75
  SELL | 2023-02-17 13:00 | $    23,870 | Cap: $   188,803 | RSI<30
   BUY | 2023-02-17 14:00 | $    23,783 | Cap: $   188,803 | VP>VAH+1%(7d)
  SELL | 2023-02-22 16:00 | $    23,715 | Cap: $   188,262 | RSI<30
   BUY | 2023-03-12 19:00 | $    21,075 | Cap: $   188,262 | RSI>75
  SELL | 2023-03-15 10:00 | $    24,515 | Cap: $   218,989 | RSI<30
   BUY | 2023-03-15 11:00 | $    24,540 | Cap: $   218,989 | VP>VAH+1%(7d)
  SELL | 2023-03-22 20:00 | $    26,669 | Cap: $   237,989 | RSI<30
   BUY | 2023-03-23 16:00 | $    28,581 | Cap: $   237,989 | VP>VAH+1%(7d)
  SELL | 2023-03-24 18:00 | $    27,610 | Cap: $   229,905 | RSI<30
   BUY | 2023-03-29 08:00 | $    28,087 | Cap: $   229,905 | RSI>75
  SELL | 2023-04-02 20:00 | $    27,944 | Cap: $   228,735 | RSI<30
   BUY | 2023-04-10 17:00 | $    29,037 | Cap: $   228,735 | RSI>75
  SELL | 2023-04-17 13:00 | $    29,530 | Cap: $   232,618 | RSI<30
   BUY | 2023-04-18 12:00 | $    30,381 | Cap: $   232,618 | RSI>75
  SELL | 2023-04-19 09:00 | $    29,168 | Cap: $   223,337 | RSI<30
   BUY | 2023-04-26 01:00 | $    28,300 | Cap: $   223,337 | RSI>75
  SELL | 2023-05-01 13:00 | $    28,596 | Cap: $   225,679 | RSI<30
   BUY | 2023-05-06 01:00 | $    29,671 | Cap: $   225,679 | VP>VAH+1%(7d)
  SELL | 2023-05-06 15:00 | $    28,607 | Cap: $   217,582 | RSI<30
   BUY | 2023-05-13 14:00 | $    26,821 | Cap: $   217,582 | RSI>75
  SELL | 2023-05-18 18:00 | $    26,489 | Cap: $   214,886 | RSI<30
   BUY | 2023-05-28 06:00 | $    27,165 | Cap: $   214,886 | RSI>75
  SELL | 2023-05-29 22:00 | $    27,667 | Cap: $   218,857 | RSI<30
   BUY | 2023-05-29 23:00 | $    27,689 | Cap: $   218,857 | VP>VAH+1%(7d)
  SELL | 2023-05-31 08:00 | $    27,168 | Cap: $   214,736 | RSI<30
   BUY | 2023-05-31 09:00 | $    27,137 | Cap: $   214,736 | VP>VAH+1%(7d)
  SELL | 2023-05-31 10:00 | $    27,133 | Cap: $   214,707 | RSI<30
   BUY | 2023-06-06 18:00 | $    26,669 | Cap: $   214,707 | RSI>75
  SELL | 2023-06-07 22:00 | $    26,155 | Cap: $   210,564 | RSI<30
   BUY | 2023-06-16 10:00 | $    25,596 | Cap: $   210,564 | RSI>75
  SELL | 2023-06-26 02:00 | $    30,173 | Cap: $   248,215 | RSI<30
   BUY | 2023-07-01 13:00 | $    30,564 | Cap: $   248,215 | RSI>75
  SELL | 2023-07-04 23:00 | $    30,820 | Cap: $   250,294 | RSI<30
   BUY | 2023-07-06 09:00 | $    31,330 | Cap: $   250,294 | RSI>75
  SELL | 2023-07-07 06:00 | $    30,208 | Cap: $   241,333 | RSI<30
   BUY | 2023-07-13 16:00 | $    30,917 | Cap: $   241,333 | VP>VAH+1%(7d)
  SELL | 2023-07-14 19:00 | $    30,092 | Cap: $   234,889 | RSI<30
   BUY | 2023-07-23 19:00 | $    30,248 | Cap: $   234,889 | RSI>75
  SELL | 2023-07-24 15:00 | $    29,043 | Cap: $   225,534 | RSI<30
   BUY | 2023-08-02 | $    29,706 | Cap: $   225,534 | RSI>75
  SELL | 2023-08-02 22:00 | $    29,180 | Cap: $   221,537 | RSI<30
   BUY | 2023-08-08 13:00 | $    29,579 | Cap: $   221,537 | RSI>75
  SELL | 2023-08-10 10:00 | $    29,534 | Cap: $   221,205 | RSI<30
   BUY | 2023-08-23 19:00 | $    26,463 | Cap: $   221,205 | RSI>75
  SELL | 2023-08-25 08:00 | $    25,980 | Cap: $   217,172 | RSI<30
   BUY | 2023-08-29 15:00 | $    27,492 | Cap: $   217,172 | RSI>75
  SELL | 2023-08-30 14:00 | $    27,376 | Cap: $   216,256 | RSI<30
   BUY | 2023-08-30 15:00 | $    27,110 | Cap: $   216,256 | VP>VAH+1%(7d)
  SELL | 2023-08-30 16:00 | $    27,202 | Cap: $   216,987 | RSI<30
   BUY | 2023-08-30 17:00 | $    27,155 | Cap: $   216,987 | VP>VAH+1%(7d)
  SELL | 2023-08-31 17:00 | $    26,234 | Cap: $   209,626 | RSI<30
   BUY | 2023-09-02 15:00 | $    25,866 | Cap: $   209,626 | RSI>75
  SELL | 2023-09-08 22:00 | $    25,894 | Cap: $   209,855 | RSI<30
   BUY | 2023-09-12 12:00 | $    26,099 | Cap: $   209,855 | RSI>75
  SELL | 2023-09-21 14:00 | $    26,420 | Cap: $   212,435 | RSI<30
   BUY | 2023-09-27 12:00 | $    26,767 | Cap: $   212,435 | RSI>75
  SELL | 2023-10-09 11:00 | $    27,533 | Cap: $   218,516 | RSI<30
   BUY | 2023-10-15 19:00 | $    27,056 | Cap: $   218,516 | RSI>75
  SELL | 2023-10-26 17:00 | $    33,774 | Cap: $   272,766 | RSI<30
   BUY | 2023-11-01 21:00 | $    35,406 | Cap: $   272,766 | VP>VAH+1%(7d)
  SELL | 2023-11-03 01:00 | $    34,510 | Cap: $   265,865 | RSI<30
   BUY | 2023-11-04 23:00 | $    35,160 | Cap: $   265,865 | VP>VAH+1%(7d)
  SELL | 2023-11-07 12:00 | $    34,628 | Cap: $   261,841 | RSI<30
   BUY | 2023-11-07 21:00 | $    35,619 | Cap: $   261,841 | VP>VAH+1%(7d)
  SELL | 2023-11-13 23:00 | $    36,467 | Cap: $   268,080 | RSI<30
   BUY | 2023-11-15 16:00 | $    36,402 | Cap: $   268,080 | RSI>75
  SELL | 2023-11-16 16:00 | $    36,406 | Cap: $   268,106 | RSI<30
   BUY | 2023-11-20 | $    37,360 | Cap: $   268,106 | RSI>75
  SELL | 2023-11-21 15:00 | $    36,636 | Cap: $   262,912 | RSI<30
   BUY | 2023-11-22 21:00 | $    37,616 | Cap: $   262,912 | RSI>75
  SELL | 2023-11-26 15:00 | $    37,341 | Cap: $   260,990 | RSI<30
   BUY | 2023-11-28 18:00 | $    38,211 | Cap: $   260,990 | RSI>75
  SELL | 2023-12-07 11:00 | $    43,134 | Cap: $   294,619 | RSI<30
   BUY | 2023-12-13 23:00 | $    42,962 | Cap: $   294,619 | RSI>75
  SELL | 2023-12-15 17:00 | $    41,798 | Cap: $   286,636 | RSI<30
   BUY | 2023-12-19 10:00 | $    43,037 | Cap: $   286,636 | RSI>75
  SELL | 2023-12-24 23:00 | $    42,977 | Cap: $   286,237 | RSI<30
   BUY | 2023-12-28 | $    43,429 | Cap: $   286,237 | RSI>75
  SELL | 2023-12-28 18:00 | $    42,540 | Cap: $   280,376 | RSI<30
   BUY | 2024-01-01 21:00 | $    43,688 | Cap: $   280,376 | RSI>75
  SELL | 2024-01-03 13:00 | $    42,789 | Cap: $   274,610 | RSI<30
   BUY | 2024-01-04 16:00 | $    44,051 | Cap: $   274,610 | RSI>75
  SELL | 2024-01-12 12:00 | $    45,954 | Cap: $   286,475 | RSI<30
   BUY | 2024-01-20 14:00 | $    41,633 | Cap: $   286,475 | RSI>75
  SELL | 2024-01-22 05:00 | $    40,786 | Cap: $   280,649 | RSI<30
   BUY | 2024-01-26 15:00 | $    41,588 | Cap: $   280,649 | RSI>75
  SELL | 2024-02-17 14:00 | $    51,189 | Cap: $   345,438 | RSI<30
   BUY | 2024-02-24 23:00 | $    51,557 | Cap: $   345,438 | RSI>75
  SELL | 2024-03-02 18:00 | $    61,761 | Cap: $   413,810 | RSI<30
   BUY | 2024-03-04 05:00 | $    63,634 | Cap: $   413,810 | RSI>75
  SELL | 2024-03-05 20:00 | $    61,411 | Cap: $   399,351 | RSI<30
   BUY | 2024-03-06 06:00 | $    66,407 | Cap: $   399,351 | VP>VAH+1%(7d)
  SELL | 2024-03-14 16:00 | $    70,844 | Cap: $   426,035 | RSI<30
   BUY | 2024-03-14 17:00 | $    71,338 | Cap: $   426,035 | VP>VAH+1%(7d)
  SELL | 2024-03-14 19:00 | $    70,098 | Cap: $   418,635 | RSI<30
   BUY | 2024-03-21 01:00 | $    67,656 | Cap: $   418,635 | RSI>75
  SELL | 2024-03-21 19:00 | $    65,134 | Cap: $   403,027 | RSI<30
   BUY | 2024-03-25 05:00 | $    67,506 | Cap: $   403,027 | VP>VAH+1%(7d)
  SELL | 2024-04-01 16:00 | $    68,237 | Cap: $   407,393 | RSI<30
   BUY | 2024-04-04 17:00 | $    67,808 | Cap: $   407,393 | VP>VAH+1%(7d)
  SELL | 2024-04-09 07:00 | $    70,766 | Cap: $   425,165 | RSI<30
   BUY | 2024-04-09 08:00 | $    70,384 | Cap: $   425,165 | VP>VAH+1%(7d)
  SELL | 2024-04-09 09:00 | $    70,500 | Cap: $   425,866 | RSI<30
   BUY | 2024-04-09 10:00 | $    70,392 | Cap: $   425,866 | VP>VAH+1%(7d)
  SELL | 2024-04-09 11:00 | $    70,567 | Cap: $   426,921 | RSI<30
   BUY | 2024-04-09 12:00 | $    70,795 | Cap: $   426,921 | VP>VAH+1%(7d)
  SELL | 2024-04-09 14:00 | $    69,928 | Cap: $   421,694 | RSI<30
   BUY | 2024-04-22 04:00 | $    65,703 | Cap: $   421,694 | VP>VAH+1%(7d)
  SELL | 2024-04-24 16:00 | $    64,610 | Cap: $   414,676 | RSI<30
   BUY | 2024-05-03 18:00 | $    61,806 | Cap: $   414,676 | RSI>75
  SELL | 2024-05-08 12:00 | $    62,243 | Cap: $   417,612 | RSI<30
   BUY | 2024-05-15 13:00 | $    63,758 | Cap: $   417,612 | VP>VAH+1%(7d)
  SELL | 2024-05-23 14:00 | $    68,036 | Cap: $   445,636 | RSI<30
   BUY | 2024-05-25 11:00 | $    69,388 | Cap: $   445,636 | RSI>75
  SELL | 2024-05-29 20:00 | $    67,267 | Cap: $   432,013 | RSI<30
   BUY | 2024-06-03 13:00 | $    69,746 | Cap: $   432,013 | VP>VAH+1%(7d)
  SELL | 2024-06-08 07:00 | $    69,333 | Cap: $   429,456 | RSI<30
   BUY | 2024-06-12 13:00 | $    69,339 | Cap: $   429,456 | RSI>75
  SELL | 2024-06-17 13:00 | $    65,625 | Cap: $   406,455 | RSI<30
   BUY | 2024-06-30 23:00 | $    62,901 | Cap: $   406,455 | RSI>75
  SELL | 2024-07-02 15:00 | $    62,035 | Cap: $   400,862 | RSI<30
   BUY | 2024-07-05 16:00 | $    56,663 | Cap: $   400,862 | VP>VAH+1%(7d)
  SELL | 2024-07-07 23:00 | $    56,396 | Cap: $   398,969 | RSI<30
   BUY | 2024-07-10 07:00 | $    59,238 | Cap: $   398,969 | VP>VAH+1%(7d)
  SELL | 2024-07-11 04:00 | $    57,568 | Cap: $   387,719 | RSI<30
   BUY | 2024-07-13 23:00 | $    59,465 | Cap: $   387,719 | VP>VAH+1%(7d)
  SELL | 2024-07-18 | $    64,088 | Cap: $   417,865 | RSI<30
   BUY | 2024-07-19 17:00 | $    66,419 | Cap: $   417,865 | RSI>75
  SELL | 2024-07-25 12:00 | $    64,096 | Cap: $   403,247 | RSI<30
   BUY | 2024-07-26 03:00 | $    67,014 | Cap: $   403,247 | RSI>75
  SELL | 2024-07-30 | $    66,785 | Cap: $   401,867 | RSI<30
   BUY | 2024-08-08 16:00 | $    59,428 | Cap: $   401,867 | RSI>75
  SELL | 2024-08-11 20:00 | $    59,621 | Cap: $   403,173 | RSI<30
   BUY | 2024-08-12 15:00 | $    60,300 | Cap: $   403,173 | VP>VAH+1%(7d)
  SELL | 2024-08-14 19:00 | $    58,990 | Cap: $   394,414 | RSI<30
   BUY | 2024-08-20 01:00 | $    60,483 | Cap: $   394,414 | VP>VAH+1%(7d)
  SELL | 2024-08-27 01:00 | $    62,722 | Cap: $   409,017 | RSI<30
   BUY | 2024-09-09 13:00 | $    55,341 | Cap: $   409,017 | RSI>75
  SELL | 2024-09-15 23:00 | $    59,430 | Cap: $   439,239 | RSI<30
   BUY | 2024-09-16 | $    59,132 | Cap: $   439,239 | VP>VAH+1%(7d)
  SELL | 2024-09-16 01:00 | $    58,666 | Cap: $   435,781 | RSI<30
   BUY | 2024-09-17 16:00 | $    61,135 | Cap: $   435,781 | VP>VAH+1%(7d)
  SELL | 2024-09-24 01:00 | $    62,906 | Cap: $   448,401 | RSI<30
   BUY | 2024-09-24 23:00 | $    64,580 | Cap: $   448,401 | VP>VAH+1%(7d)
  SELL | 2024-09-26 01:00 | $    62,946 | Cap: $   437,056 | RSI<30
   BUY | 2024-09-26 11:00 | $    64,392 | Cap: $   437,056 | VP>VAH+1%(7d)
  SELL | 2024-09-30 03:00 | $    64,376 | Cap: $   436,948 | RSI<30
   BUY | 2024-10-07 01:00 | $    63,678 | Cap: $   436,948 | RSI>75
  SELL | 2024-10-09 21:00 | $    60,420 | Cap: $   414,592 | RSI<30
   BUY | 2024-10-11 15:00 | $    61,754 | Cap: $   414,592 | RSI>75
  SELL | 2024-10-13 15:00 | $    62,250 | Cap: $   417,922 | RSI<30
   BUY | 2024-10-14 12:00 | $    64,920 | Cap: $   417,922 | RSI>75
  SELL | 2024-10-22 01:00 | $    67,150 | Cap: $   432,275 | RSI<30
   BUY | 2024-10-28 11:00 | $    68,626 | Cap: $   432,275 | VP>VAH+1%(7d)
  SELL | 2024-10-31 18:00 | $    70,785 | Cap: $   445,877 | RSI<30
   BUY | 2024-11-05 19:00 | $    70,230 | Cap: $   445,877 | RSI>75
  SELL | 2024-11-25 20:00 | $    94,669 | Cap: $   601,039 | RSI<30
   BUY | 2024-11-27 17:00 | $    95,689 | Cap: $   601,039 | RSI>75
  SELL | 2024-12-06 01:00 | $    97,552 | Cap: $   612,740 | RSI<30
   BUY | 2024-12-06 20:00 | $   101,440 | Cap: $   612,740 | RSI>75
  SELL | 2024-12-18 15:00 | $   104,020 | Cap: $   628,324 | RSI<30
   BUY | 2024-12-21 09:00 | $    98,650 | Cap: $   628,324 | RSI>75
  SELL | 2024-12-22 05:00 | $    96,076 | Cap: $   611,930 | RSI<30
   BUY | 2024-12-24 16:00 | $    98,300 | Cap: $   611,930 | RSI>75
  SELL | 2024-12-26 12:00 | $    95,696 | Cap: $   595,718 | RSI<30
   BUY | 2025-01-02 09:00 | $    96,150 | Cap: $   595,718 | RSI>75
  SELL | 2025-01-07 16:00 | $    97,952 | Cap: $   606,885 | RSI<30
   BUY | 2025-01-14 09:00 | $    95,489 | Cap: $   606,885 | RSI>75
  SELL | 2025-01-20 01:00 | $    99,795 | Cap: $   634,252 | RSI<30
   BUY | 2025-01-20 07:00 | $   107,482 | Cap: $   634,252 | VP>VAH+1%(7d)
  SELL | 2025-01-22 16:00 | $   104,180 | Cap: $   614,765 | RSI<30
   BUY | 2025-01-28 15:00 | $   102,642 | Cap: $   614,765 | RSI>75
  SELL | 2025-02-01 10:00 | $   101,676 | Cap: $   608,979 | RSI<30
   BUY | 2025-02-03 23:00 | $   101,696 | Cap: $   608,979 | RSI>75
  SELL | 2025-02-04 22:00 | $    96,514 | Cap: $   577,953 | RSI<30
   BUY | 2025-02-14 18:00 | $    98,526 | Cap: $   577,953 | VP>VAH+1%(7d)
  SELL | 2025-02-21 20:00 | $    95,285 | Cap: $   558,942 | RSI<30
   BUY | 2025-02-22 18:00 | $    96,639 | Cap: $   558,942 | RSI>75
  SELL | 2025-02-23 17:00 | $    95,421 | Cap: $   551,892 | RSI<30
   BUY | 2025-03-01 04:00 | $    85,331 | Cap: $   551,892 | RSI>75
  SELL | 2025-03-03 19:00 | $    87,133 | Cap: $   563,547 | RSI<30
   BUY | 2025-03-05 11:00 | $    89,926 | Cap: $   563,547 | RSI>75
  SELL | 2025-03-08 12:00 | $    85,956 | Cap: $   538,666 | RSI<30
   BUY | 2025-03-14 15:00 | $    83,525 | Cap: $   538,666 | RSI>75
  SELL | 2025-03-16 12:00 | $    82,410 | Cap: $   531,477 | RSI<30
   BUY | 2025-03-19 15:00 | $    84,319 | Cap: $   531,477 | RSI>75
  SELL | 2025-03-28 12:00 | $    85,255 | Cap: $   537,381 | RSI<30
   BUY | 2025-04-01 17:00 | $    85,120 | Cap: $   537,381 | RSI>75
  SELL | 2025-04-03 13:00 | $    81,949 | Cap: $   517,362 | RSI<30
   BUY | 2025-04-09 23:00 | $    83,057 | Cap: $   517,362 | VP>VAH+1%(7d)
  SELL | 2025-04-10 18:00 | $    79,328 | Cap: $   494,135 | RSI<30
   BUY | 2025-04-11 11:00 | $    82,707 | Cap: $   494,135 | VP>VAH+1%(7d)
  SELL | 2025-04-16 01:00 | $    83,146 | Cap: $   496,759 | RSI<30
   BUY | 2025-04-21 01:00 | $    86,626 | Cap: $   496,759 | VP>VAH+1%(7d)
  SELL | 2025-05-03 12:00 | $    95,942 | Cap: $   550,184 | RSI<30
   BUY | 2025-05-07 01:00 | $    97,416 | Cap: $   550,184 | VP>VAH+1%(7d)
  SELL | 2025-05-23 21:00 | $   108,237 | Cap: $   611,298 | RSI<30
   BUY | 2025-05-26 08:00 | $   110,095 | Cap: $   611,298 | RSI>75
  SELL | 2025-05-28 14:00 | $   108,068 | Cap: $   600,048 | RSI<30
