
--- RSI|VP-buy m1% (346 entries, 5457%) ---
   BUY | 2018-01-03 02:00 | $    14,848 | Cap: $    10,000 | RSI>75
  SELL | 2020-11-22 12:00 | $    17,892 | Cap: $    44,866 | RSI<30
   BUY | 2020-11-24 10:00 | $    18,983 | Cap: $    44,866 | VP>VAH+1%(7d)
  SELL | 2020-11-26 04:00 | $    17,928 | Cap: $    42,372 | RSI<30
   BUY | 2020-11-30 14:00 | $    19,151 | Cap: $    42,372 | RSI>75
  SELL | 2020-12-08 23:00 | $    18,336 | Cap: $    40,569 | RSI<30
   BUY | 2020-12-13 08:00 | $    19,249 | Cap: $    40,569 | RSI>75
  SELL | 2021-01-04 10:00 | $    31,038 | Cap: $    65,416 | RSI<30
   BUY | 2021-01-04 11:00 | $    30,271 | Cap: $    65,416 | VP>VAH+1%(7d)
  SELL | 2021-01-11 03:00 | $    36,364 | Cap: $    78,583 | RSI<30
   BUY | 2021-01-13 22:00 | $    37,291 | Cap: $    78,583 | RSI>75
  SELL | 2021-01-15 16:00 | $    35,611 | Cap: $    75,042 | RSI<30
   BUY | 2021-01-22 22:00 | $    33,290 | Cap: $    75,042 | RSI>75
  SELL | 2021-01-26 12:00 | $    31,799 | Cap: $    71,680 | RSI<30
   BUY | 2021-01-28 21:00 | $    32,578 | Cap: $    71,680 | RSI>75
  SELL | 2021-01-30 10:00 | $    34,253 | Cap: $    75,366 | RSI<30
   BUY | 2021-02-02 10:00 | $    35,334 | Cap: $    75,366 | VP>VAH+1%(7d)
  SELL | 2021-02-10 16:00 | $    44,354 | Cap: $    94,607 | RSI<30
   BUY | 2021-02-10 17:00 | $    44,747 | Cap: $    94,607 | VP>VAH+1%(7d)
  SELL | 2021-02-10 19:00 | $    45,088 | Cap: $    95,329 | RSI<30
   BUY | 2021-02-10 20:00 | $    45,190 | Cap: $    95,329 | VP>VAH+1%(7d)
  SELL | 2021-02-22 13:00 | $    53,784 | Cap: $   113,458 | RSI<30
   BUY | 2021-03-01 13:00 | $    47,914 | Cap: $   113,458 | RSI>75
  SELL | 2021-03-14 18:00 | $    59,701 | Cap: $   141,370 | RSI<30
   BUY | 2021-03-14 19:00 | $    60,138 | Cap: $   141,370 | VP>VAH+1%(7d)
  SELL | 2021-03-15 10:00 | $    55,871 | Cap: $   131,339 | RSI<30
   BUY | 2021-03-18 | $    58,913 | Cap: $   131,339 | VP>VAH+1%(7d)
  SELL | 2021-03-21 10:00 | $    55,961 | Cap: $   124,757 | RSI<30
   BUY | 2021-03-27 | $    55,026 | Cap: $   124,757 | RSI>75
  SELL | 2021-04-04 | $    57,052 | Cap: $   129,351 | RSI<30
   BUY | 2021-04-10 05:00 | $    61,074 | Cap: $   129,351 | RSI>75
  SELL | 2021-04-16 11:00 | $    60,248 | Cap: $   127,601 | RSI<30
   BUY | 2021-04-26 10:00 | $    53,450 | Cap: $   127,601 | VP>VAH+1%(7d)
  SELL | 2021-05-04 05:00 | $    55,809 | Cap: $   133,233 | RSI<30
   BUY | 2021-05-08 09:00 | $    58,857 | Cap: $   133,233 | VP>VAH+1%(7d)
  SELL | 2021-05-11 01:00 | $    55,453 | Cap: $   125,530 | RSI<30
   BUY | 2021-05-24 13:00 | $    38,211 | Cap: $   125,530 | RSI>75
