date,funding_rate,open_interest_usd
2022-09-13,9.988333333333333e-05,2966784179.46574
2022-09-14,-7.406666666666667e-06,2435805382.878469
2022-09-15,3.712333333333334e-05,2352335412.936781
2022-09-16,5.1076666666666665e-05,2370652700.518559
2022-09-17,2.942333333333333e-05,2472892553.9849243
2022-09-18,5.9373333333333336e-05,2484015568.6580563
2022-09-19,-1.7026666666666667e-05,2264484616.3337994
2022-09-20,5.1296666666666666e-05,2245523266.7740498
2022-09-21,3.131666666666667e-05,2222051553.720716
2022-09-22,-3.649e-05,2253216003.4860034
2022-09-23,1.7373333333333332e-05,2364052985.774954
2022-09-24,3.3226666666666665e-05,2304760687.903376
2022-09-25,2.415e-05,2284770591.9013443
2022-09-26,2.511e-05,2374191039.1479616
2022-09-27,6.927333333333333e-05,2720483830.173615
2022-09-28,1.8006666666666665e-05,2495214372.692644
2022-09-29,6.669e-05,2532062153.5278745
2022-09-30,0.0001,2640150351.7718267
2022-10-01,6.734333333333334e-05,2437952321.122567
2022-10-02,5.154000000000001e-05,2448449396.8918786
2022-10-03,7.437333333333334e-05,2501401871.862388
2022-10-04,0.0001,3040861661.6535134
2022-10-05,0.0001,3286911435.74692
2022-10-06,0.0001,3254502814.2356305
2022-10-07,9.171e-05,3024079635.5545464
2022-10-08,5.114666666666666e-05,2830680785.929634
2022-10-09,2.324333333333333e-05,2836993628.576078
2022-10-10,7.436666666666667e-05,2889716500.233673
2022-10-11,0.0001,2950810025.2243385
2022-10-12,0.0001,2969454760.019379
2022-10-13,7.133999999999999e-05,2920443546.465532
2022-10-14,7.21e-05,2972471764.267814
2022-10-15,4.217333333333333e-05,2841272989.37092
2022-10-16,2.1966666666666668e-05,2830566457.568228
2022-10-17,3.876333333333333e-05,2910809155.8967457
2022-10-18,0.0001,3087775840.218456
2022-10-19,9.199333333333332e-05,2963596680.3556323
2022-10-20,6.038666666666667e-05,2931164049.537496
2022-10-21,2.767e-05,2969996353.2746334
2022-10-22,3.9206666666666665e-05,2873565978.6976624
2022-10-23,3.499e-05,2951910248.703645
2022-10-24,7.442666666666668e-05,2943084137.972891
2022-10-25,4.3933333333333335e-05,3023545890.5375323
2022-10-26,4.676666666666667e-05,3454655340.5463734
2022-10-27,-2.956666666666666e-06,3362639504.037606
2022-10-28,-1.0533333333333325e-06,3030245977.299117
2022-10-29,3.8146666666666665e-05,3140756171.891644
2022-10-30,1.944e-05,3108512509.2772503
2022-10-31,1.637333333333333e-05,2890334641.608488
2022-11-01,3.1200000000000006e-06,2769110950.6518087
2022-11-02,4.012e-05,2704600402.4652104
2022-11-03,3.353333333333333e-05,2620318818.459212
2022-11-04,4.1586666666666666e-05,2825266269.790865
2022-11-05,6.316666666666667e-05,3128573090.0347805
2022-11-06,7.696333333333332e-05,3065810856.5152826
2022-11-07,9.271e-05,2843611996.577041
2022-11-08,5.057666666666666e-05,2472083302.209831
2022-11-09,-0.00013185,2197516362.8294168
2022-11-10,-0.00084986,2204658199.0847225
2022-11-11,-0.0001084366666666,2103083418.492384
2022-11-12,3.1383333333333335e-05,1994891753.3957264
2022-11-13,-1.4026666666666667e-05,1954458307.184768
2022-11-14,-4.195333333333334e-05,1953501550.9589365
2022-11-15,-8.771333333333333e-05,1987262607.20888
2022-11-16,-6.237333333333334e-05,2030480527.2259817
2022-11-17,-4.127e-05,2072782911.777868
2022-11-18,1.7233333333333337e-06,2077458959.1862428
2022-11-19,4.094666666666667e-05,2009826814.2083893
2022-11-20,5.98e-06,1992449723.1127007
2022-11-21,2.994e-05,2029866227.20453
2022-11-22,8.096666666666667e-06,2049015730.851017
2022-11-23,6.338666666666667e-05,2088557155.389339
2022-11-24,4.568e-05,2063785278.415063
2022-11-25,1.2826666666666664e-05,2073038461.9222565
2022-11-26,1.6423333333333333e-05,2081770810.3161345
2022-11-27,5.936666666666664e-06,2085702004.1048355
2022-11-28,9.533333333333334e-06,2036026960.287876
2022-11-29,2.8486666666666663e-05,2083627218.244522
2022-11-30,5.6510000000000006e-05,2140449221.425866
2022-12-01,2.0093333333333336e-05,2208072814.990319
2022-12-02,2.425e-05,2194175289.111513
2022-12-03,6.141666666666666e-05,2196577477.3723297
2022-12-04,5.7306666666666665e-05,2278411709.3716927
2022-12-05,1.4633333333333324e-06,2292079604.117132
2022-12-06,2.8763333333333333e-05,1981490636.32778
2022-12-07,2.351e-05,1813375812.210192
2022-12-08,1.1673333333333334e-05,1836367378.363929
2022-12-09,2.794333333333333e-05,1915042049.27034
2022-12-10,-2.15e-06,1886925540.7434616
2022-12-11,8.313333333333334e-06,1890512350.9868824
2022-12-12,1.1246666666666669e-05,1776690009.143813
2022-12-13,4.991333333333333e-05,1873493619.118584
2022-12-14,0.0001,1942227792.14488
2022-12-15,8.393333333333333e-05,1932363259.4288988
2022-12-16,2.8536666666666667e-05,1775362310.1184683
2022-12-17,6.51e-05,1661237731.941291
2022-12-18,4.151666666666666e-05,1662083322.1235018
2022-12-19,4.819e-05,1653441354.275637
2022-12-20,3e-05,1610342934.423709
2022-12-21,6.367333333333335e-05,1610156923.5136528
2022-12-22,6.094333333333333e-05,1646165006.248182
2022-12-23,9.634333333333334e-05,1665166076.3825638
2022-12-24,6.99e-05,1659040321.0155802
2022-12-25,1.812e-05,1642646998.695101
2022-12-26,3.753333333333332e-06,1634985608.354327
2022-12-27,3.902666666666667e-05,1658239039.873433
2022-12-28,5.375666666666666e-05,1734782882.4036877
2022-12-29,9.505666666666667e-05,1776312017.738093
